therapy,region,forecast_origin_month_index,target_month_index,horizon_months,actual_sales_units,target_market_regime,target_supply_constrained,target_access_rate_allowed,target_new_metastatic_diagnoses_allowed,target_eligible_new_1l_patient_pool_allowed,target_competitor_overlap_pressure_allowed,target_patient_driver_index,origin_patient_driver_index,driver_growth_ratio,access_change_vs_origin,competitor_pressure_change_vs_origin,naive_prediction,seasonal_naive_prediction,historical_xgboost_prediction,patient_driver_prediction,hybrid_xgboost_prediction
Therapy A,East,37,38,1,200.7633974491796,b_launch_growth,0,0.55,141.067780590841,42.3203341772523,0.5,19.20285163292823,19.194872039678668,1.0003857899463868,0.0,0.0,201.9426610583358,200.58561902943484,199.7982,199.29149111585167,202.00778
Therapy A,North,37,38,1,319.2752824462332,b_launch_growth,0,0.74,210.73088211718223,63.21926463515467,0.68,35.64807894247102,35.63326566496793,1.000399041252785,0.0,0.0,321.63475275516925,327.2499629812145,317.02008,317.58177214790743,324.5946
Therapy A,South,37,38,1,206.0963682122436,b_launch_growth,0,0.6,141.8141709643375,42.54425128930125,0.55,20.612689749666455,20.604124309328423,1.0003876987715759,0.0,0.0,207.4494884998248,208.5438385461053,204.93694,204.944197603551,206.39383
Therapy A,West,37,38,1,237.1642368093144,b_launch_growth,0,0.65,160.72272709291582,48.216818127874745,0.6,24.759336108663682,24.749047562199177,1.0003921245922498,0.0,0.0,238.80987304452412,241.31306076143744,236.83636,235.8928212477619,240.22513
Therapy B,East,37,38,1,135.39280332330088,b_launch_growth,0,0.5,141.067780590841,42.3203341772523,0.4046755373782051,18.16311639296531,18.155568853478425,1.000384206750911,0.0,0.0,127.67139152876868,35.41001415475134,137.09103,117.54655780245807,138.17365
Therapy B,North,37,38,1,227.2633180151171,b_launch_growth,0,0.68,210.73088211718223,63.21926463515467,0.5444725411997668,34.796865378758575,34.78240581632535,1.0003986501202458,0.0,0.0,214.9170657038136,62.713954167186245,217.6972,198.20526480539635,220.56201
Therapy B,South,37,38,1,141.7580590863295,b_launch_growth,0,0.55,141.8141709643375,42.54425128930125,0.4414642225944055,19.7838484810169,19.775627459118315,1.0003866072249654,0.0,0.0,133.80660139808657,37.7709571855217,145.65808,123.26601066543287,141.30078
Therapy B,West,37,38,1,166.11841758270754,b_launch_growth,0,0.6,160.72272709291582,48.216818127874745,0.478252907810606,24.087525846968287,24.077516465949188,1.0003915049674774,0.0,0.0,156.92007395933092,44.88927426807784,162.36101,144.62245522678967,164.75272
Therapy C,East,37,38,1,845.4172361611239,b_launch_growth,0,0.66,141.067780590841,98.7474464135887,0.0,65.17331463296854,65.14623237709124,1.0004064260528036,0.0,0.0,837.4464037698295,692.7236680785543,847.24365,814.7801949988409,845.6325
Therapy C,North,37,38,1,1315.8454490794056,b_launch_growth,0,0.76,210.73088211718223,147.51161748202756,0.0,112.10882928634095,112.06224334824748,1.0004102639097523,0.0,0.0,1303.5995800686574,1080.4557150370724,1230.688,1268.4973795208346,1254.2965
