therapy,region,forecast_origin_month_index,target_month_index,horizon_months,actual_sales_units,target_market_regime,target_supply_constrained,target_access_rate_allowed,target_new_metastatic_diagnoses_allowed,target_eligible_new_1l_patient_pool_allowed,target_competitor_overlap_pressure_allowed,target_patient_driver_index,origin_patient_driver_index,driver_growth_ratio,access_change_vs_origin,competitor_pressure_change_vs_origin,naive_prediction,seasonal_naive_prediction,historical_xgboost_prediction,patient_driver_prediction,hybrid_xgboost_prediction,scenario_access_rate,scenario_patient_pool,scenario_competitor_pressure,scenario_driver_ratio,baseline_forecast_units,scenario_forecast_units_before_supply,scenario_supply_fill_rate,scenario_forecast_units,scenario_name,scenario_description,absolute_change_units,percent_change
Therapy A,East,130,142,12,89.2027244051753,epidemiology_change,0,0.55,164.975096689,49.4925290067,1.22,15.597570516461506,15.519970663145775,1.0046577940762056,0.0,0.0,89.70134582153754,92.67204352205796,98.795364,91.85768260352232,94.33017,0.55,49.4925290067,1.22,1.0,91.85768260352232,91.85768260352232,1.0,91.85768260352232,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy A,North,130,142,12,153.68569276793303,epidemiology_change,0,0.74,246.44428023912343,73.93328407173702,1.33,29.24283184889414,29.09734512327776,1.004811452418939,0.0,0.0,154.77024413711126,160.72220884750274,133.29204,158.69306605578723,143.01971,0.74,73.93328407173702,1.33,1.0,158.69306605578723,158.69306605578723,1.0,158.69306605578723,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy A,South,130,142,12,100.03443944177135,epidemiology_change,0,0.6,165.84798079846558,49.75439423953967,1.1,18.359371474390137,18.268031317801128,1.0047062477680668,0.0,0.0,100.75611961926784,104.68930070410968,107.44106,103.32181357506461,108.2489,0.6,49.75439423953967,1.1,1.0,103.32181357506461,103.32181357506461,1.0,103.32181357506461,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy A,West,130,142,12,113.80517862048916,epidemiology_change,0,0.65,187.9610449049277,56.3883134714783,1.2,21.25839417874732,21.152631023629176,1.004744258009772,0.0,0.0,114.64803430785186,119.20479080374206,112.631226,117.58817902357583,116.13517,0.65,56.3883134714783,1.2,1.0,117.58817902357583,117.58817902357583,1.0,117.58817902357583,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy B,East,130,142,12,252.3583569952616,epidemiology_change,0,0.72,164.975096689,49.4925290067,0.9046755373782052,24.35140145543763,24.230250204415547,1.0047752813087463,0.0,0.0,249.48055570505497,249.93284842806577,225.51314,252.96577956400662,233.64262,0.72,49.4925290067,0.9046755373782052,1.0,252.96577956400662,252.96577956400662,1.0,252.96577956400662,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy B,North,130,142,12,315.89856041965106,epidemiology_change,0,0.68,246.44428023912343,73.93328407173702,1.194472541199767,29.256549075131126,29.110994104608093,1.0048115374892534,0.0,0.0,313.92713435381074,319.09328079084366,283.78088,319.24990995168366,287.9548,0.68,73.93328407173702,1.194472541199767,1.0,319.24990995168366,319.24990995168366,1.0,319.24990995168366,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy B,South,130,142,12,202.6641746785681,epidemiology_change,0,0.55,165.84798079846558,49.75439423953967,0.9914642225944056,17.868949234214874,17.78004898926853,1.0046986714640695,0.0,0.0,201.24419710372183,204.21960538680963,186.31683,204.59124704944972,176.71185,0.55,49.75439423953967,0.9914642225944056,1.0,204.59124704944972,204.59124704944972,1.0,204.59124704944972,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy B,West,130,142,12,233.2252573268776,epidemiology_change,0,0.6,187.9610449049277,56.3883134714783,1.078252907810606,21.064806859783918,20.96000682565564,1.0047420289810538,0.0,0.0,231.72687696667816,235.4950120466522,223.08575,235.65053372433562,215.6442,0.6,56.3883134714783,1.078252907810606,1.0,235.65053372433562,235.65053372433562,1.0,235.65053372433562,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy C,East,130,142,12,1090.3807741490614,epidemiology_change,0,0.66,164.975096689,115.4825676823,0.0,76.21849467031801,75.83929817942088,1.0049259384477114,0.0,0.0,1061.965261610521,1005.4898718609472,1094.6207,1065.1420111562988,1065.3331,0.66,115.4825676823,0.0,1.0,1065.1420111562988,1065.1420111562988,1.0,1065.1420111562988,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy C,North,130,142,12,1694.2109291175475,epidemiology_change,0,0.76,246.44428023912343,172.5109961673864,0.0,131.10835708721365,130.45607670369517,1.0049566764147722,0.0,0.0,1649.891471246044,1562.2427278328817,1564.5139,1654.8646640404882,1601.3601,0.76,172.5109961673864,0.0,1.0,1654.8646640404882,1654.8646640404882,1.0,1654.8646640404882,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy C,South,130,142,12,1114.8474169521676,epidemiology_change,0,0.7,165.84798079846558,116.0935865589259,0.0,81.26551059124813,80.86120456840608,1.004930474101472,0.0,0.0,1085.7480970555712,1028.0372130548003,1111.1724,1089.0053231356242,1082.2024,0.7,116.0935865589259,0.0,1.0,1089.0053231356242,1089.0053231356242,1.0,1089.0053231356242,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy C,West,130,142,12,1273.4395108121887,epidemiology_change,0,0.72,187.9610449049277,131.57273143344935,0.0,94.73236663208353,94.26106132545624,1.0049402395556164,0.0,0.0,1240.17483121751,1174.2677247243191,1261.7401,1243.9015487140455,1263.2705,0.72,131.57273143344935,0.0,1.0,1243.9015487140455,1243.9015487140455,1.0,1243.9015487140455,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy D,East,130,142,12,235.200988311192,epidemiology_change,0,0.5,164.975096689,49.4925290067,1.1246755373782051,15.005233088407074,14.930580187469722,1.0046452438237312,0.0,0.0,149.85864176076782,174.0592685834941,204.91042,151.48459788612396,189.14574,0.5,49.4925290067,1.1246755373782051,1.0,151.48459788612396,151.48459788612396,1.0,151.48459788612396,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy D,North,130,142,12,402.8609295669854,epidemiology_change,0,0.65,246.44428023912343,73.93328407173702,1.2244725411997668,27.461224305085736,27.32460129859278,1.0047997099855612,0.0,0.0,367.2298221906391,300.3433531430651,408.33466,359.31042868915415,394.6239,0.65,73.93328407173702,1.2244725411997668,1.0,359.31042868915415,359.31042868915415,1.0,359.31042868915415,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy D,South,130,142,12,270.78684302588545,epidemiology_change,0,0.55,165.84798079846558,49.75439423953967,0.9914642225944056,17.868949234214874,17.78004898926853,1.0046986714640695,0.0,0.0,246.72738455593745,201.5721346353606,269.80215,241.36853066127182,260.35257,0.55,49.75439423953967,0.9914642225944056,1.0,241.36853066127182,241.36853066127182,1.0,241.36853066127182,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy D,West,130,142,12,311.4042299456148,epidemiology_change,0,0.6,187.9610449049277,56.3883134714783,1.078252907810606,21.064806859783918,20.96000682565564,1.0047420289810538,0.0,0.0,283.80157949941656,232.02163374898367,307.64404,277.66721655657943,290.04202,0.6,56.3883134714783,1.078252907810606,1.0,277.66721655657943,277.66721655657943,1.0,277.66721655657943,Base case,No change from governed baseline forecast.,0.0,0.0
Therapy A,East,130,142,12,89.2027244051753,epidemiology_change,0,0.55,164.975096689,49.4925290067,1.22,15.597570516461506,15.519970663145775,1.0046577940762056,0.0,0.0,89.70134582153754,92.67204352205796,98.795364,91.85768260352232,94.33017,0.4675,49.4925290067,1.22,0.8602185816646916,91.85768260352232,79.01768544420739,1.0,79.01768544420739,Access downside,Market access drops by 15 percent across therapies and regions.,-12.839997159314933,-0.13978141833530838
Therapy A,North,130,142,12,153.68569276793303,epidemiology_change,0,0.74,246.44428023912343,73.93328407173702,1.33,29.24283184889414,29.09734512327776,1.004811452418939,0.0,0.0,154.77024413711126,160.72220884750274,133.29204,158.69306605578723,143.01971,0.629,73.93328407173702,1.33,0.8556293421200637,158.69306605578723,135.78244370832903,1.0,135.78244370832903,Access downside,Market access drops by 15 percent across therapies and regions.,-22.9106223474582,-0.14437065787993636
Therapy A,South,130,142,12,100.03443944177135,epidemiology_change,0,0.6,165.84798079846558,49.75439423953967,1.1,18.359371474390137,18.268031317801128,1.0047062477680668,0.0,0.0,100.75611961926784,104.68930070410968,107.44106,103.32181357506461,108.2489,0.51,49.75439423953967,1.1,0.8587712871076295,103.32181357506461,88.72980683015278,1.0,88.72980683015278,Access downside,Market access drops by 15 percent across therapies and regions.,-14.592006744911828,-0.1412287128923705
Therapy A,West,130,142,12,113.80517862048916,epidemiology_change,0,0.65,187.9610449049277,56.3883134714783,1.2,21.25839417874732,21.152631023629176,1.004744258009772,0.0,0.0,114.64803430785186,119.20479080374206,112.631226,117.58817902357583,116.13517,0.5525,56.3883134714783,1.2,0.8576360323989646,117.58817902357583,100.84785931479873,1.0,100.84785931479873,Access downside,Market access drops by 15 percent across therapies and regions.,-16.740319708777108,-0.14236396760103545
Therapy B,East,130,142,12,252.3583569952616,epidemiology_change,0,0.72,164.975096689,49.4925290067,0.9046755373782052,24.35140145543763,24.230250204415547,1.0047752813087463,0.0,0.0,249.48055570505497,249.93284842806577,225.51314,252.96577956400662,233.64262,0.612,49.4925290067,0.9046755373782052,0.8567095208879308,252.96577956400662,216.71819181132204,1.0,216.71819181132204,Access downside,Market access drops by 15 percent across therapies and regions.,-36.24758775268458,-0.14329047911206916
Therapy B,North,130,142,12,315.89856041965106,epidemiology_change,0,0.68,246.44428023912343,73.93328407173702,1.194472541199767,29.256549075131126,29.110994104608093,1.0048115374892534,0.0,0.0,313.92713435381074,319.09328079084366,283.78088,319.24990995168366,287.9548,0.5780000000000001,73.93328407173702,1.194472541199767,0.8556268017548031,319.24990995168366,273.158779412468,1.0,273.158779412468,Access downside,Market access drops by 15 percent across therapies and regions.,-46.09113053921567,-0.14437319824519684
Therapy B,South,130,142,12,202.6641746785681,epidemiology_change,0,0.55,165.84798079846558,49.75439423953967,0.9914642225944056,17.868949234214874,17.78004898926853,1.0046986714640695,0.0,0.0,201.24419710372183,204.21960538680963,186.31683,204.59124704944972,176.71185,0.4675,49.75439423953967,0.9914642225944056,0.8589975794083048,204.59124704944972,175.7433859836038,1.0,175.7433859836038,Access downside,Market access drops by 15 percent across therapies and regions.,-28.847861065845933,-0.1410024205916952
Therapy B,West,130,142,12,233.2252573268776,epidemiology_change,0,0.6,187.9610449049277,56.3883134714783,1.078252907810606,21.064806859783918,20.96000682565564,1.0047420289810538,0.0,0.0,231.72687696667816,235.4950120466522,223.08575,235.65053372433562,215.6442,0.51,56.3883134714783,1.078252907810606,0.8577026045941674,235.65053372433562,202.11807654936834,1.0,202.11807654936834,Access downside,Market access drops by 15 percent across therapies and regions.,-33.53245717496728,-0.1422973954058326
Therapy C,East,130,142,12,1090.3807741490614,epidemiology_change,0,0.66,164.975096689,115.4825676823,0.0,76.21849467031801,75.83929817942088,1.0049259384477114,0.0,0.0,1061.965261610521,1005.4898718609472,1094.6207,1065.1420111562988,1065.3331,0.561,115.4825676823,0.0,0.8522109555377767,1065.1420111562988,907.7256911109387,1.0,907.7256911109387,Access downside,Market access drops by 15 percent across therapies and regions.,-157.41632004536018,-0.1477890444622233
Therapy C,North,130,142,12,1694.2109291175475,epidemiology_change,0,0.76,246.44428023912343,172.5109961673864,0.0,131.10835708721365,130.45607670369517,1.0049566764147722,0.0,0.0,1649.891471246044,1562.2427278328817,1564.5139,1654.8646640404882,1601.3601,0.646,172.5109961673864,0.0,0.8512932971015947,1654.8646640404882,1408.77519610795,1.0,1408.77519610795,Access downside,Market access drops by 15 percent across therapies and regions.,-246.08946793253813,-0.14870670289840526
Therapy C,South,130,142,12,1114.8474169521676,epidemiology_change,0,0.7,165.84798079846558,116.0935865589259,0.0,81.26551059124813,80.86120456840608,1.004930474101472,0.0,0.0,1085.7480970555712,1028.0372130548003,1111.1724,1089.0053231356242,1082.2024,0.595,116.0935865589259,0.0,0.852075543542166,1089.0053231356242,927.9148026310991,1.0,927.9148026310991,Access downside,Market access drops by 15 percent across therapies and regions.,-161.0905205045251,-0.14792445645783403
Therapy C,West,130,142,12,1273.4395108121887,epidemiology_change,0,0.72,187.9610449049277,131.57273143344935,0.0,94.73236663208353,94.26106132545624,1.0049402395556164,0.0,0.0,1240.17483121751,1174.2677247243191,1261.7401,1243.9015487140455,1263.2705,0.612,131.57273143344935,0.0,0.8517839999444187,1243.9015487140455,1059.535436700707,1.0,1059.535436700707,Access downside,Market access drops by 15 percent across therapies and regions.,-184.36611201333858,-0.14821600005558125
Therapy D,East,130,142,12,235.200988311192,epidemiology_change,0,0.5,164.975096689,49.4925290067,1.1246755373782051,15.005233088407074,14.930580187469722,1.0046452438237312,0.0,0.0,149.85864176076782,174.0592685834941,204.91042,151.48459788612396,189.14574,0.425,49.4925290067,1.1246755373782051,0.8605934760090648,151.48459788612396,130.36665665665484,1.0,130.36665665665484,Access downside,Market access drops by 15 percent across therapies and regions.,-21.117941229469125,-0.13940652399093528
Therapy D,North,130,142,12,402.8609295669854,epidemiology_change,0,0.65,246.44428023912343,73.93328407173702,1.2244725411997668,27.461224305085736,27.32460129859278,1.0047997099855612,0.0,0.0,367.2298221906391,300.3433531430651,408.33466,359.31042868915415,394.6239,0.5525,73.93328407173702,1.2244725411997668,0.855979998176194,359.31042868915415,307.56254009402966,1.0,307.56254009402966,Access downside,Market access drops by 15 percent across therapies and regions.,-51.74788859512449,-0.144020001823806
Therapy D,South,130,142,12,270.78684302588545,epidemiology_change,0,0.55,165.84798079846558,49.75439423953967,0.9914642225944056,17.868949234214874,17.78004898926853,1.0046986714640695,0.0,0.0,246.72738455593745,201.5721346353606,269.80215,241.36853066127182,260.35257,0.4675,49.75439423953967,0.9914642225944056,0.8589975794083048,241.36853066127182,207.3349835833717,1.0,207.3349835833717,Access downside,Market access drops by 15 percent across therapies and regions.,-34.033547077900124,-0.14100242059169518
