scenario_name,therapy,baseline_forecast_units,scenario_forecast_units,absolute_change_units,percent_change
Access downside,Therapy A,471.46074125795,404.3777952974879,-67.08294596046207,-0.14228744854019354
Access downside,Therapy B,1012.4574702894756,867.7384337567622,-144.71903653271346,-0.14293838583791207
Access downside,Therapy C,5052.913547046457,4303.951126550694,-748.962420495762,-0.14822387391400108
Access downside,Therapy D,1029.8307737931295,883.4200751850472,-146.41069860808227,-0.14216966741905984
Base case,Therapy A,471.46074125795,471.46074125795,0.0,0.0
Base case,Therapy B,1012.4574702894756,1012.4574702894756,0.0,0.0
Base case,Therapy C,5052.913547046457,5052.913547046457,0.0,0.0
Base case,Therapy D,1029.8307737931295,1029.8307737931295,0.0,0.0
Combined downside,Therapy A,471.46074125795,318.2630908916873,-153.1976503662627,-0.32494253913380194
Combined downside,Therapy B,1012.4574702894756,693.27228915386,-319.1851811356156,-0.31525786564087094
Combined downside,Therapy C,5052.913547046457,3959.635036426639,-1093.2785106198176,-0.21636596400088098
Combined downside,Therapy D,1029.8307737931295,671.6109762142005,-358.21979757892893,-0.34784336096261137
Earlier strong competitor pressure,Therapy A,471.46074125795,402.7082082886384,-68.7525329693116,-0.14582875508545276
Earlier strong competitor pressure,Therapy B,1012.4574702894756,878.1261788542312,-134.3312914352445,-0.13267845354218913
Earlier strong competitor pressure,Therapy C,5052.913547046457,5052.913547046457,0.0,0.0
Earlier strong competitor pressure,Therapy D,1029.8307737931295,889.2676060463363,-140.5631677467931,-0.13649152008641488
Epidemiology upside,Therapy A,471.46074125795,525.1270980263197,53.66635676836967,0.11382995883215487
Epidemiology upside,Therapy B,1012.4574702894756,1128.2326995156463,115.77522922617086,0.11435070867032975
Epidemiology upside,Therapy C,5052.913547046457,5652.083483443068,599.1699363966109,0.11857909913120111
Epidemiology upside,Therapy D,1029.8307737931295,1146.9593326795953,117.1285588864659,0.11373573393524795
Persistence downside,Therapy A,471.46074125795,433.743881957314,-37.71685930063599,-0.07999999999999997
Persistence downside,Therapy B,1012.4574702894756,931.4608726663175,-80.99659762315804,-0.07999999999999999
Persistence downside,Therapy C,5052.913547046457,4648.680463282741,-404.2330837637163,-0.07999999999999995
Persistence downside,Therapy D,1029.8307737931295,947.444311889679,-82.38646190345028,-0.07999999999999992
Therapy D East supply constraint,Therapy A,471.46074125795,471.46074125795,0.0,0.0
Therapy D East supply constraint,Therapy B,1012.4574702894756,1012.4574702894756,0.0,0.0
Therapy D East supply constraint,Therapy C,5052.913547046457,5052.913547046457,0.0,0.0
Therapy D East supply constraint,Therapy D,1029.8307737931295,984.3853944272922,-45.4453793658372,-0.044128977811034205
