therapy,region,forecast_origin_month,forecast_origin_month_index,horizon_months,target_month,target_month_index,target_market_regime,target_supply_constrained,sales_at_forecast_origin,sales_lag_1,sales_lag_3,sales_lag_6,sales_lag_12,rolling_mean_3,rolling_mean_6,rolling_sd_6,sales_change_vs_3_months_ago,therapy_age_months,calendar_month,calendar_year,horizon_months,target_access_rate_allowed,target_new_metastatic_diagnoses_allowed,target_eligible_new_1l_patient_pool_allowed,target_competitor_overlap_pressure_allowed,target_observed_sales_units
Therapy A,East,2015-01-01,13,1,2015-02-01,14,early_market_before_b_launch,0,137.5839570274724,129.88934673537585,114.6376469865674,93.30625297351853,63.76152530320744,122.24742426539946,111.23087257189013,13.722654132873753,22.94631004090499,13,1,2015,1,0.55,139.66761277279377,41.90028383183813,0.0,145.23025293849264
Therapy A,East,2015-01-01,13,3,2015-04-01,16,early_market_before_b_launch,0,137.5839570274724,129.88934673537585,114.6376469865674,93.30625297351853,63.76152530320744,122.24742426539946,111.23087257189013,13.722654132873753,22.94631004090499,13,1,2015,3,0.55,139.78376070990254,41.93512821297076,0.0,160.1441030888504
Therapy A,East,2015-01-01,13,6,2015-07-01,19,b_launch_growth,0,137.5839570274724,129.88934673537585,114.6376469865674,93.30625297351853,63.76152530320744,122.24742426539946,111.23087257189013,13.722654132873753,22.94631004090499,13,1,2015,6,0.55,139.95816374488138,41.98744912346441,0.5,179.274489416976
Therapy A,East,2015-01-01,13,12,2016-01-01,25,b_launch_growth,0,137.5839570274724,129.88934673537585,114.6376469865674,93.30625297351853,63.76152530320744,122.24742426539946,111.23087257189013,13.722654132873753,22.94631004090499,13,1,2015,12,0.55,140.307622875,42.0922868625,0.5,200.58561902943484
Therapy A,East,2015-02-01,14,1,2015-03-01,15,early_market_before_b_launch,0,145.23025293849264,137.5839570274724,122.21527907425512,100.09911898075576,67.0843566049969,129.89619427903446,118.61048991421579,14.057003536416927,23.01497386423752,14,2,2015,1,0.55,139.7256746727513,41.91770240182539,0.0,152.76758464679898
Therapy A,East,2015-02-01,14,3,2015-05-01,17,early_market_before_b_launch,0,145.23025293849264,137.5839570274724,122.21527907425512,100.09911898075576,67.0843566049969,129.89619427903446,118.61048991421579,14.057003536416927,23.01497386423752,14,2,2015,3,0.55,139.84187089428167,41.9525612682845,0.0,167.31685950699375
Therapy A,East,2015-02-01,14,6,2015-08-01,20,b_launch_growth,0,145.23025293849264,137.5839570274724,122.21527907425512,100.09911898075576,67.0843566049969,129.89619427903446,118.61048991421579,14.057003536416927,23.01497386423752,14,2,2015,6,0.55,140.01634643119112,42.00490392935733,0.5,183.9136307760991
Therapy A,East,2015-02-01,14,12,2016-02-01,26,b_launch_growth,0,145.23025293849264,137.5839570274724,122.21527907425512,100.09911898075576,67.0843566049969,129.89619427903446,118.61048991421579,14.057003536416927,23.01497386423752,14,2,2015,12,0.55,140.36595083665773,42.10978525099732,0.5,202.560998346974
Therapy A,East,2015-03-01,15,1,2015-04-01,16,early_market_before_b_launch,0,152.76758464679898,145.23025293849264,129.88934673537585,107.23759068086814,71.09887387477927,137.5678522337803,126.1323455738386,14.244071021737431,22.878237911423128,15,3,2015,1,0.55,139.78376070990254,41.93512821297076,0.0,160.1441030888504
Therapy A,East,2015-03-01,15,3,2015-06-01,18,early_market_before_b_launch,0,152.76758464679898,145.23025293849264,129.88934673537585,107.23759068086814,71.09887387477927,137.5678522337803,126.1323455738386,14.244071021737431,22.878237911423128,15,3,2015,3,0.55,139.90000523592707,41.97000157077812,0.0,174.2515161330392
Therapy A,East,2015-03-01,15,6,2015-09-01,21,b_launch_growth,0,152.76758464679898,145.23025293849264,129.88934673537585,107.23759068086814,71.09887387477927,137.5678522337803,126.1323455738386,14.244071021737431,22.878237911423128,15,3,2015,6,0.55,140.07455330490728,42.022365991472185,0.5,188.14000089519504
Therapy A,East,2015-03-01,15,12,2016-03-01,27,b_launch_growth,0,152.76758464679898,145.23025293849264,129.88934673537585,107.23759068086814,71.09887387477927,137.5678522337803,126.1323455738386,14.244071021737431,22.878237911423128,15,3,2015,12,0.55,140.42430304611506,42.127290913834514,0.5,204.0984447958548
