therapy,region,forecast_origin_month,forecast_origin_month_index,horizon_months,target_month,target_month_index,target_market_regime,target_supply_constrained,target_access_rate_allowed,target_new_metastatic_diagnoses_allowed,target_eligible_new_1l_patient_pool_allowed,target_competitor_overlap_pressure_allowed,horizon_months,calendar_month,target_observed_sales_units
Therapy A,East,2015-01-01,13,1,2015-02-01,14,early_market_before_b_launch,0,0.55,139.66761277279377,41.90028383183813,0.0,1,1,145.23025293849264
Therapy A,East,2015-01-01,13,3,2015-04-01,16,early_market_before_b_launch,0,0.55,139.78376070990254,41.93512821297076,0.0,3,1,160.1441030888504
Therapy A,East,2015-01-01,13,6,2015-07-01,19,b_launch_growth,0,0.55,139.95816374488138,41.98744912346441,0.5,6,1,179.274489416976
Therapy A,East,2015-01-01,13,12,2016-01-01,25,b_launch_growth,0,0.55,140.307622875,42.0922868625,0.5,12,1,200.58561902943484
Therapy A,East,2015-02-01,14,1,2015-03-01,15,early_market_before_b_launch,0,0.55,139.7256746727513,41.91770240182539,0.0,1,2,152.76758464679898
Therapy A,East,2015-02-01,14,3,2015-05-01,17,early_market_before_b_launch,0,0.55,139.84187089428167,41.9525612682845,0.0,3,2,167.31685950699375
Therapy A,East,2015-02-01,14,6,2015-08-01,20,b_launch_growth,0,0.55,140.01634643119112,42.00490392935733,0.5,6,2,183.9136307760991
Therapy A,East,2015-02-01,14,12,2016-02-01,26,b_launch_growth,0,0.55,140.36595083665773,42.10978525099732,0.5,12,2,202.560998346974
Therapy A,East,2015-03-01,15,1,2015-04-01,16,early_market_before_b_launch,0,0.55,139.78376070990254,41.93512821297076,0.0,1,3,160.1441030888504
Therapy A,East,2015-03-01,15,3,2015-06-01,18,early_market_before_b_launch,0,0.55,139.90000523592707,41.97000157077812,0.0,3,3,174.2515161330392
Therapy A,East,2015-03-01,15,6,2015-09-01,21,b_launch_growth,0,0.55,140.07455330490728,42.022365991472185,0.5,6,3,188.14000089519504
